account_id,customer_id,account_type,open_date,balance,branch_id
200001,100000,checking,2023-09-10,5042.16,Branch_13
200002,100000,savings,2021-09-23,5530.23,Branch_12
200003,100001,loan-linked,2019-10-23,8331.47,Branch_1
200004,100001,checking,2020-11-23,1215.66,Branch_13
200005,100002,checking,2023-10-29,1128.93,Branch_19
200006,100003,savings,2023-06-08,10493.25,Branch_15
200007,100004,checking,2020-01-24,11.15,Branch_14
200008,100004,checking,2019-10-07,1375.22,Branch_17
200009,100005,savings,2021-03-15,19884.87,Branch_6
200010,100006,savings,2022-12-01,2101.49,Branch_17
200011,100007,savings,2024-07-31,18836.02,Branch_3
200012,100008,savings,2021-01-24,17940.59,Branch_14
200013,100008,savings,2025-06-24,1759.45,Branch_5
200014,100009,checking,2024-03-09,19876.67,Branch_15
200015,100010,savings,2023-06-04,9.05,Branch_15
200016,100011,savings,2025-07-26,9274.68,Branch_1
200017,100012,savings,2021-07-22,12132.23,Branch_18
200018,100013,savings,2021-04-28,15000.82,Branch_10
200019,100013,savings,2020-08-12,22363.41,Branch_1
200020,100014,checking,2024-02-04,155.84,Branch_5
200021,100015,checking,2023-05-27,18778.06,Branch_20
200022,100016,savings,2019-03-23,8927.81,Branch_1
200023,100016,savings,2021-05-10,1007.89,Branch_6
200024,100017,checking,2022-09-09,6474.8,Branch_16
200025,100018,savings,2025-01-31,6861.31,Branch_20
200026,100019,savings,2021-05-14,8449.88,Branch_9
200027,100020,checking,2022-10-11,1764.81,Branch_7
200028,100021,checking,2023-03-14,1324.39,Branch_2
200029,100022,checking,2023-02-03,28911.99,Branch_3
200030,100023,savings,2019-12-06,32703.56,Branch_20
200031,100024,savings,2023-06-09,666.81,Branch_12
200032,100024,savings,2025-07-07,995.42,Branch_15
200033,100025,savings,2025-09-05,16853.39,Branch_20
200034,100025,savings,2022-09-08,11332.5,Branch_12
200035,100026,checking,2019-03-15,14178.96,Branch_14
200036,100026,savings,2022-03-19,921.08,Branch_20
200037,100027,savings,2020-10-01,174.03,Branch_18
200038,100027,savings,2022-01-12,7912.8,Branch_10
200039,100028,savings,2021-09-22,3485.62,Branch_7
200040,100029,savings,2020-11-10,2172.64,Branch_1
200041,100029,savings,2019-02-20,20211.2,Branch_19
200042,100029,savings,2023-06-14,6363.12,Branch_7
200043,100030,savings,2024-07-12,189.58,Branch_20
200044,100031,savings,2025-08-11,8176.1,Branch_12
200045,100032,loan-linked,2019-04-03,28949.23,Branch_8
200046,100033,savings,2023-11-08,49585.95,Branch_15
200047,100034,savings,2023-05-06,5105.01,Branch_10
200048,100035,savings,2025-02-04,13259.73,Branch_11
200049,100036,checking,2024-11-20,3348.15,Branch_14
200050,100037,savings,2021-08-03,4972.97,Branch_15
200051,100038,checking,2024-02-11,22154.87,Branch_10
200052,100038,checking,2020-11-14,4414.84,Branch_20
200053,100038,savings,2019-01-12,10706.06,Branch_17
200054,100039,savings,2019-11-16,32835.28,Branch_8
200055,100040,savings,2019-01-16,1526.51,Branch_19
200056,100040,savings,2021-07-29,11637.94,Branch_8
200057,100041,checking,2024-04-14,667.84,Branch_20
200058,100042,savings,2020-02-18,2504.18,Branch_17
200059,100043,savings,2024-09-23,16328.98,Branch_15
200060,100044,checking,2023-03-08,83151.4,Branch_16
200061,100044,savings,2024-03-01,2903.92,Branch_3
200062,100045,savings,2025-06-23,5.61,Branch_3
200063,100046,checking,2022-10-04,12401.97,Branch_13
200064,100047,savings,2023-06-20,1115.8,Branch_9
200065,100048,loan-linked,2023-06-26,6442.4,Branch_5
200066,100048,savings,2023-02-01,11505.6,Branch_15
200067,100049,savings,2019-12-30,4640.26,Branch_7
200068,100050,checking,2025-08-11,74.3,Branch_15
200069,100050,savings,2021-06-02,15574.82,Branch_3
200070,100051,savings,2019-08-25,14574.77,Branch_18
200071,100052,checking,2022-08-08,16686.87,Branch_19
200072,100053,savings,2023-09-02,11530.65,Branch_19
200073,100054,savings,2024-07-13,27204.99,Branch_19
200074,100054,savings,2025-09-25,65212.71,Branch_11
200075,100055,checking,2019-08-02,2552.61,Branch_13
200076,100056,savings,2019-04-29,52985.34,Branch_16
200077,100057,checking,2021-10-20,11066.75,Branch_13
200078,100057,checking,2025-09-20,18923.78,Branch_9
200079,100058,savings,2019-08-17,11763.45,Branch_19
200080,100059,savings,2019-06-13,8912.76,Branch_6
200081,100060,savings,2021-12-22,3258.32,Branch_6
200082,100061,savings,2024-05-25,5136.54,Branch_11
200083,100062,savings,2019-02-11,19919.62,Branch_18
200084,100063,savings,2024-07-06,4198.16,Branch_6
200085,100064,savings,2022-04-25,5102.7,Branch_10
200086,100065,savings,2021-07-02,1783.79,Branch_19
200087,100066,savings,2023-07-11,1796.9,Branch_10
200088,100067,savings,2021-09-28,6150.35,Branch_2
200089,100068,savings,2025-08-14,25088.44,Branch_17
200090,100069,savings,2020-05-19,201.71,Branch_19
200091,100070,savings,2025-02-07,2561.86,Branch_18
200092,100071,checking,2019-06-14,5679.98,Branch_3
200093,100071,savings,2024-09-21,24127.97,Branch_1
200094,100072,savings,2020-10-31,2186.94,Branch_6
200095,100073,savings,2022-02-04,8100.99,Branch_12
200096,100074,savings,2021-02-05,2734.83,Branch_20
200097,100074,savings,2020-08-06,2113.66,Branch_2
200098,100075,checking,2023-07-28,4267.89,Branch_14
200099,100075,checking,2019-12-30,13014.61,Branch_4
200100,100075,savings,2025-04-12,951.61,Branch_1
200101,100076,savings,2025-08-09,28157.36,Branch_15
200102,100077,savings,2021-01-11,7006.07,Branch_13
200103,100077,checking,2022-09-27,9185.29,Branch_7
200104,100078,checking,2021-06-08,15120.33,Branch_9
200105,100078,savings,2025-03-14,16060.59,Branch_14
200106,100079,checking,2021-07-03,27058.91,Branch_14
200107,100079,savings,2024-08-17,5604.73,Branch_8
200108,100080,loan-linked,2025-01-22,12505.65,Branch_12
200109,100081,savings,2023-02-01,24839.82,Branch_13
200110,100082,savings,2024-02-27,821.1,Branch_18
200111,100083,savings,2023-09-25,9627.62,Branch_17
200112,100084,savings,2024-01-22,10045.82,Branch_1
200113,100085,checking,2022-07-03,1743.33,Branch_10
200114,100085,savings,2020-11-27,1244.88,Branch_3
200115,100086,savings,2024-02-17,7974.49,Branch_9
200116,100087,savings,2023-02-19,4080.53,Branch_4
200117,100088,savings,2019-03-15,9854.69,Branch_15
200118,100089,checking,2023-08-09,3303.94,Branch_12
200119,100090,savings,2020-04-05,6990.59,Branch_7
200120,100091,savings,2025-02-05,9549.99,Branch_3
200121,100092,savings,2022-03-23,9516.08,Branch_16
200122,100093,savings,2024-02-18,1578.85,Branch_13
200123,100093,savings,2020-09-21,5314.78,Branch_14
200124,100094,checking,2020-08-04,2402.93,Branch_19
200125,100095,savings,2024-06-20,14926.92,Branch_7
200126,100095,savings,2025-09-08,18123.76,Branch_15
200127,100096,checking,2025-05-09,1733.37,Branch_15
200128,100096,savings,2021-02-16,14685.67,Branch_7
200129,100097,savings,2019-02-21,9098.41,Branch_15
200130,100097,savings,2023-10-01,28957.76,Branch_5
200131,100098,savings,2020-03-30,3687.4,Branch_14
200132,100098,savings,2023-03-06,26.83,Branch_7
200133,100099,savings,2024-09-13,1224.69,Branch_1
200134,100100,savings,2020-07-21,10475.14,Branch_18
200135,100101,savings,2024-11-13,7643.77,Branch_1
200136,100102,savings,2019-01-07,6635.27,Branch_9
200137,100103,savings,2021-06-08,12507.43,Branch_17
200138,100103,checking,2024-01-30,6160.34,Branch_19
200139,100104,savings,2024-05-18,716.35,Branch_2
200140,100105,checking,2019-07-07,12420.91,Branch_19
200141,100106,checking,2022-03-25,3531.73,Branch_18
200142,100106,savings,2020-03-12,17226.29,Branch_19
200143,100106,savings,2021-03-04,3653.86,Branch_11
200144,100107,savings,2020-09-06,56627.95,Branch_3
200145,100108,checking,2019-03-10,1708.16,Branch_10
200146,100109,checking,2024-10-16,908.25,Branch_8
200147,100109,checking,2025-05-12,998.01,Branch_13
200148,100110,savings,2023-03-30,23568.81,Branch_17
200149,100111,savings,2023-09-24,6847.64,Branch_17
200150,100111,savings,2022-06-10,1951.73,Branch_20
200151,100112,loan-linked,2021-04-13,1822.56,Branch_3
200152,100113,savings,2022-09-09,40838.73,Branch_11
200153,100114,checking,2021-01-28,2989.67,Branch_12
200154,100115,checking,2021-12-24,940.39,Branch_12
200155,100116,checking,2022-04-26,17257.02,Branch_4
200156,100116,savings,2022-02-05,7305.98,Branch_1
200157,100117,savings,2022-08-27,381.68,Branch_4
200158,100118,checking,2019-01-23,210.91,Branch_8
200159,100119,checking,2021-02-07,5635.67,Branch_17
200160,100120,checking,2022-09-10,5657.78,Branch_7
200161,100121,loan-linked,2021-07-28,360.72,Branch_4
200162,100122,savings,2019-10-03,4605.19,Branch_20
200163,100123,loan-linked,2019-02-19,216.86,Branch_8
200164,100124,checking,2020-05-02,8481.11,Branch_17
200165,100124,checking,2024-04-24,518.85,Branch_7
200166,100125,savings,2024-04-20,588.51,Branch_16
200167,100126,checking,2023-06-02,6325.51,Branch_15
200168,100127,savings,2021-01-27,13117.75,Branch_4
200169,100128,savings,2023-11-13,7300.52,Branch_4
200170,100128,savings,2020-04-02,6153.0,Branch_16
200171,100129,savings,2022-01-20,6535.03,Branch_13
200172,100130,checking,2019-04-15,4382.78,Branch_20
200173,100131,checking,2024-04-27,6216.47,Branch_7
200174,100132,checking,2019-09-19,5382.33,Branch_2
200175,100133,savings,2023-04-16,8315.17,Branch_12
200176,100134,savings,2024-01-29,17242.66,Branch_17
200177,100135,savings,2021-06-02,4667.39,Branch_15
200178,100136,checking,2021-03-20,9864.06,Branch_3
200179,100137,savings,2022-02-02,877.59,Branch_18
