customer_id,age,gender,join_date,city,occupation,monthly_income_EGP,credit_score
100000,56,M,2024-05-29,Aswan,Accountant,11348.21,666
100001,69,M,2023-07-13,Ismailia,Accountant,16118.06,688
100002,46,M,2020-08-08,Suez,Unemployed,2580.11,652
100003,32,F,2019-11-03,Alexandria,Doctor,12338.33,621
100004,60,M,2019-12-02,Luxor,Manager,2883.98,749
100005,25,F,2020-01-07,Alexandria,Doctor,13309.16,687
100006,38,M,2021-06-29,Aswan,Sales,17171.81,514
100007,56,M,2020-02-25,Tanta,Unemployed,13327.57,580
100008,36,F,2022-09-22,Cairo,Doctor,16868.82,556
100009,40,F,2024-07-11,Mansoura,Teacher,6399.88,640
100010,28,M,2019-10-14,Suez,Clerk,11502.56,725
100011,28,M,2020-07-29,Luxor,Freelancer,10096.19,619
100012,41,M,2019-03-11,Alexandria,Accountant,9572.48,629
100013,70,M,2019-06-06,Giza,Manager,5594.87,571
100014,53,F,2020-01-09,Suez,Freelancer,8545.42,710
100015,57,M,2019-06-11,Cairo,Accountant,3098.36,748
100016,41,M,2023-01-04,Suez,Clerk,1500.0,647
100017,20,M,2019-05-01,Aswan,Doctor,6394.27,776
100018,39,F,2020-03-01,Giza,Manager,17007.68,606
100019,70,F,2020-10-13,Tanta,Engineer,13872.53,538
100020,19,M,2021-04-04,Giza,Manager,1947.17,714
100021,41,F,2019-12-05,Tanta,Clerk,8751.91,642
100022,61,M,2022-11-24,Aswan,Sales,17539.71,603
100023,47,M,2020-08-11,Tanta,Unemployed,8412.07,656
100024,55,F,2020-02-10,Giza,Clerk,1500.0,523
100025,19,F,2019-02-18,Tanta,Clerk,30061.03,510
100026,38,F,2020-03-13,Damanhour,Engineer,10664.33,657
100027,50,F,2022-04-18,Ismailia,Clerk,2691.37,684
100028,29,M,2020-10-29,Tanta,Student,13370.11,761
100029,39,F,2022-06-03,Giza,Manager,11315.17,720
100030,61,M,2020-04-21,Ismailia,Doctor,1500.0,700
100031,42,F,2019-03-30,Ismailia,Engineer,12746.95,751
100032,66,M,2019-01-10,Giza,Teacher,19869.88,689
100033,44,F,2019-09-10,Mansoura,Sales,10136.72,622
100034,59,M,2021-04-18,Aswan,Manager,1500.0,722
100035,45,M,2021-12-29,Cairo,Engineer,14735.37,720
100036,33,F,2019-09-03,Cairo,Manager,16823.2,649
100037,32,M,2020-04-24,Ismailia,Freelancer,7308.7,554
100038,64,M,2020-01-18,Aswan,Manager,7367.51,507
100039,68,M,2020-01-05,Tanta,Sales,30062.85,717
100040,61,M,2019-07-04,Damanhour,Accountant,6734.29,688
100041,72,M,2019-04-13,Luxor,Engineer,3024.95,699
100042,69,M,2019-06-03,Mansoura,Teacher,12200.91,720
100043,74,F,2019-02-09,Alexandria,Clerk,16598.74,578
100044,20,M,2019-06-04,Aswan,Engineer,16259.47,499
